Year,Month,Tile,Id,Gender
2013,October,Brad Morris,40933262,male
2013,October,Tony Johnson (fighter),46377761,male
2013,October,Jocelyn Ducloux,23743153,male
2013,October,Iain Lawrence,9490452,male
2013,October,Marcus Collins (actor),40961938,male
2013,October,Milton Wolf (politician),40819249,male
2013,October,Babatunde Ogunnaike,40867474,male
2013,October,Capital Steez,40841303,male
2013,October,John G. Fuller,4649101,male
2013,October,Hilary Evans,20850741,male
2013,October,Danielle Egnew,7963285,female
2013,October,Ana Carlota de Mendoça Rolim de Moura Barreto,13424360,female
2013,October,Futuristic (rapper),49085917,male
2013,October,Sir Doosky,32866218,male
2013,October,Beatrice Kozera,40363439,female
2013,October,Beatrice Thompson,40854041,female
2013,October,Noriko Osumi,40386282,female
2013,October,Aida Nikolaychuk,40684540,female
2013,October,Lindsay Gardner,40908494,male
2013,October,Clarence Hugo Linder,8664605,male
2013,October,David Bergstein,24432752,male
2013,October,David Lambkin,2555352,male
2013,October,Tahita Bulmer,7993135,female
2013,October,Will Brooks,38356381,male
2013,October,Adria Vasil,40638534,female
2013,October,Jakub Gierszał,40769850,male
2013,October,Black Point (artist),40785364,male
2013,October,Chen Zijie,42369187,male
2013,October,Lin Evola,40155462,female
2013,October,Derrick Lewis (fighter),43037777,male
2013,October,Sanaullah Haq,39305928,male
2013,October,Bob Cook,11171839,male
2013,October,Christina Aguilar,6636454,female
2013,October,Belinda (Cape Verdean singer),40615650,female
2013,October,Latrelle,40834452,female
2013,October,Spoken Reasons,38421659,male
2013,October,Kenneth P. Thompson,40671012,male
2013,October,Russell Hantz,25523021,male
2013,October,Philip Guarino,40717199,male
2013,October,Joe Heck,13256777,male
2013,October,Cristina Lark,40683916,female
2013,October,Aquiles Delle Vigne,49681159,male
2013,October,Walter S. Bowman,40810461,male
2013,October,Hormizd V,29437602,male
2013,October,Evan Dimas Darmono,44535543,male
2013,October,Montana Fishburne,156006,male
2013,October,Eureka Media,24219507,male
2013,October,Studying in the Modern World,13349518,male
2013,October,A Man Called Brian,1205044,male
2013,October,Cole White,31220248,male
2013,October,Shoshanna Evers,39593354,female
2013,October,Alan Kirby,9488204,male
2013,October,Jesse Hirsh,12830783,male
2013,October,Ashis Roy,17883585,male
2013,October,Anna Lubiw,40806753,female
2013,October,Tom Carr (artist),40811441,male
2013,October,Anusit Termmee,45164360,male
2013,October,Garett Whiteley,44789688,male
2013,October,Borislav Ivanov,40135603,male
2013,October,Paul Kane (entrepreneur),34129240,male
2013,October,Bill Chalker,39973630,male
2013,October,John Foulcher,32797110,male
2013,October,Zoya Akhtar's Next,3916813,female
2013,October,Dave Lowry (martial arts),2499807,male
2013,October,Jared Carpenter,42683033,male
2013,October,Nathaniel Raymond,32439897,male
2013,October,The John Gardner Fellowship Program,1123366,male
2013,October,Paul Alpert,39968757,male
2013,October,Yishai Romanoff,39112645,male
2013,October,Devante Clut,41731249,male
2013,October,Jonathan Smallwood,40767719,male
2013,October,Ann Friedman,40786728,female
2013,October,John Shand,34383299,male
2013,October,Marie Lucas Robiquet,21887656,female
2013,October,Wang Chengkuai,41061630,male
2013,October,Wayne Hall (ice hockey),25501689,male
2013,October,Heidi A Campbell,40800949,female
2013,October,Peter Shin,5493824,male
2013,October,REVOLVER RANI,19479909,male
2013,October,Jesse Anderson,5750730,male
2013,October,Matt Carthy,42880263,male
2013,October,Julian Brind,40712471,male
2013,October,The Maestro (wrestler),4306453,male
2013,October,Doc Childre,34267137,male
2013,October,Melissa Ann Friedrich,40698935,female
2013,October,Jennifer Michelle Brown,38540994,female
2013,October,Princess Christine of Mecklenburg-Güstrow,44077377,female
2013,October,Tiffany Foxx Discography,38940484,female
2013,October,Jeff Halevy (Personal trainer),38646081,male
2013,October,Abdul Khaliq Hazara (assassin),29628859,male
2013,October,Luke Adams (footballer),40764897,male
2013,October,Ilir Latifi,43331763,male
2013,October,Christian Colón,29073751,male
2013,October,Mady Hornig,8685709,female
2013,October,Albert Francis Capone,12194148,male
2013,October,Barbara Árnason,40758917,female
2013,October,Michael Roa Valdamjong,9587008,male
